Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,-0.001,0,0,28.74334145,-14.648752,-24.730413,-0.01941093,0.131345103
-1,-0.00095,0,0,28.37259674,-13.915908,-24.725521,-0.01933192,0.126505684
-1,-0.0009,0,0,28.01618767,-13.18314,-24.720663,-0.019257717,0.121698377
-1,-0.00085,0,0,27.6746788,-12.450463,-24.715855,-0.019154197,0.11692828
-1,-0.0008,0,0,27.34862137,-11.717821,-24.711119,-0.019077834,0.112201372
-1,-0.00075,0,0,27.03851128,-10.985182,-24.706408,-0.019029573,0.107524713
-1,-0.0007,0,0,26.74491882,-10.252582,-24.701717,-0.01901781,0.102906899
-1,-0.00065,0,0,26.46835327,-9.519923,-24.697054,-0.019001057,0.098358809
-1,-0.0006,0,0,26.20937538,-8.78723,-24.69242,-0.018987741,0.093894155
-1,-0.00055,0,0,25.96850777,-8.054453,-24.687828,-0.018962571,0.089530129
-1,-0.0005,0,0,25.7462635,-7.3215914,-24.683273,-0.018929062,0.08528707
-1,-0.00045,0,0,25.54312325,-6.5886936,-24.678734,-0.018883556,0.081187096
-1,-0.0004,0,0,25.35955238,-5.85575,-24.674212,-0.018848056,0.077252483
-1,-0.00035,0,0,25.19598389,-5.122762,-24.66971,-0.01883253,0.07350798
-1,-0.0003,0,0,25.05282211,-4.389776,-24.665226,-0.01881328,0.069993139
-1,-0.00025,0,0,24.9304142,-3.656784,-24.66076,-0.018806435,0.066765338
-1,-0.0002,0,0,24.82909775,-2.923731,-24.65635,-0.018852394,0.063889342
-1,-0.00015,0,0,24.74909592,-2.1906748,-24.651943,-0.01889969,0.061515967
-1,-1.00E-04,0,0,24.69063377,-1.4575789,-24.647566,-0.018975215,0.059956621
-1,-5.00E-05,0,0,24.65385056,-0.724497,-24.643196,-0.019053549,0.059065583
-1,3.12E-19,0,0,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,5.00E-05,0,0,24.6457119,0.7415009,-24.634546,-0.019338673,0.059208991
-1,0.0001,0,0,24.67434692,1.4744594,-24.630245,-0.01951308,0.060142386
-1,0.00015,0,0,24.7246933,2.207414,-24.62595,-0.019689828,0.061743779
-1,0.0002,0,0,24.79663658,2.9404194,-24.621672,-0.019854242,0.064162259
-1,0.00025,0,0,24.890028,3.6735013,-24.617441,-0.019984463,0.067045016
-1,0.0003,0,0,25.0045948,4.406609,-24.613232,-0.020100078,0.070288912
-1,0.00035,0,0,25.14008331,5.139814,-24.609056,-0.020217635,0.073827582
-1,0.0004,0,0,25.29610825,5.873022,-24.604883,-0.020334851,0.077605886
-1,0.00045,0,0,25.4723053,6.606247,-24.60072,-0.02044894,0.081587141
-1,0.0005,0,0,25.66825104,7.3394465,-24.59657,-0.020588137,0.085747126
-1,0.00055,0,0,25.88349724,8.07263,-24.59243,-0.020739485,0.090061604
-1,0.0006,0,0,26.11756516,8.805753,-24.588322,-0.020897226,0.094503464
-1,0.00065,0,0,26.36968422,9.538286,-24.584162,-0.021064186,0.099042502
-1,0.0007,0,0,26.63988876,10.271441,-24.580088,-0.021273239,0.103667102
-1,0.00075,0,0,26.92770386,11.005312,-24.576084,-0.021483451,0.108362466
-1,0.0008,0,0,27.23192215,11.738453,-24.572054,-0.021623963,0.113105811
-1,0.00085,0,0,27.55228806,12.471499,-24.568064,-0.021756621,0.117893338
-1,0.0009,0,0,27.88821602,13.204328,-24.564157,-0.021902522,0.12271832
-1,0.00095,0,0,28.23916435,13.93707,-24.560293,-0.022052228,0.127575433
-1,0.001,0,0,28.60463142,14.669817,-24.556484,-0.0221934,0.132460433
-1,0,-0.001,0,25.05624962,0.013707256,-25.056202,-0.047185972,0.060612697
-1,0,-0.00095,0,25.03534508,0.013406733,-25.0353,-0.045772485,0.060512963
-1,0,-0.0009,0,25.01443863,0.013106197,-25.014397,-0.044359013,0.060414247
-1,0,-0.00085,0,24.9935379,0.012809545,-24.993498,-0.042940486,0.06031656
-1,0,-0.0008,0,24.97264481,0.012537478,-24.972607,-0.041524325,0.060219917
-1,0,-0.00075,0,24.95175552,0.012277787,-24.951721,-0.04010585,0.060124333
-1,0,-0.0007,0,24.93087196,0.012016684,-24.930838,-0.038688324,0.060029822
-1,0,-0.00065,0,24.9099865,0.011763835,-24.909956,-0.037265323,0.059936403
-1,0,-0.0006,0,24.88910294,0.011510793,-24.889074,-0.035842434,0.05984409
-1,0,-0.00055,0,24.86822128,0.011255208,-24.868196,-0.034423035,0.059752902
-1,0,-0.0005,0,24.84735298,0.011039282,-24.847328,-0.033002596,0.059662859
-1,0,-0.00045,0,24.82649803,0.010794961,-24.826475,-0.031615425,0.059573977
-1,0,-0.0004,0,24.80564499,0.010550614,-24.805624,-0.030228266,0.059486276
-1,0,-0.00035,0,24.78479004,0.010306243,-24.784771,-0.028841123,0.059399777
-1,0,-0.0003,0,24.763937,0.010061846,-24.76392,-0.027453996,0.059314502
-1,0,-0.00025,0,24.74308395,0.009817425,-24.743069,-0.026066886,0.059230471
-1,0,-0.0002,0,24.72223473,0.00957298,-24.72222,-0.02467979,0.059147707
-1,0,-0.00015,0,24.70137978,0.009328535,-24.701368,-0.023292596,0.059066234
-1,0,-1.00E-04,0,24.68053818,0.009067243,-24.680527,-0.021911493,0.058986078
-1,0,-5.00E-05,0,24.65970039,0.008791845,-24.65969,-0.020535516,0.058907264
-1,0,3.12E-19,0,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,0,5.00E-05,0,24.61805153,0.008216087,-24.618044,-0.017843641,0.058753778
-1,0,0.0001,0,24.59715652,0.007932354,-24.59715,-0.016497973,0.058678861
-1,0,0.00015,0,24.57640457,0.007637522,-24.576399,-0.015159338,0.058606025
-1,0,0.0002,0,24.55558777,0.007332265,-24.555584,-0.013824724,0.058534382
-1,0,0.00025,0,24.53477478,0.007026995,-24.534771,-0.012490114,0.058464277
-1,0,0.0003,0,24.51395988,0.00672171,-24.513956,-0.011155511,0.058395747
-1,0,0.00035,0,24.49315453,0.006413736,-24.49315,-0.00980214,0.058328832
-1,0,0.0004,0,24.47236252,0.006086743,-24.472359,-0.008410186,0.05826357
-1,0,0.00045,0,24.45158577,0.005786915,-24.451582,-0.007016551,0.058200002
-1,0,0.0005,0,24.43081093,0.005487317,-24.430809,-0.005612318,0.058138166
-1,0,0.00055,0,24.41003609,0.005187706,-24.410036,-0.004208102,0.058078103
-1,0,0.0006,0,24.38926506,0.004888081,-24.389265,-0.002803906,0.058019849
-1,0,0.00065,0,24.36849213,0.004588443,-24.368492,-0.001399727,0.057963444
-1,0,0.0007,0,24.3477211,0.004288789,-24.347721,4.43E-06,0.057908922
-1,0,0.00075,0,24.32695198,0.003989109,-24.326952,0.001408583,0.057856322
-1,0,0.0008,0,24.30618858,0.003714197,-24.306189,0.002815048,0.057805676
-1,0,0.00085,0,24.28543091,0.003449779,-24.28543,0.004222491,0.05775702
-1,0,0.0009,0,24.26467514,0.003185341,-24.264673,0.005629913,0.057710387
-1,0,0.00095,0,24.24391747,0.00292088,-24.243916,0.007037319,0.057665809
-1,0,0.001,0,24.2231617,0.002656394,-24.22316,0.008444699,0.05762332
-1,0,0,-0.001,28.54588699,0.008080621,-24.488615,-14.668855,0.131227853
-1,0,0,-0.00095,28.18286896,0.008067182,-24.49582,-13.936603,0.126388049
-1,0,0,-0.0009,27.83441162,0.008046584,-24.503052,-13.20435,0.121577581
-1,0,0,-0.00085,27.50106239,0.008051615,-24.510303,-12.472106,0.116800567
-1,0,0,-0.0008,27.18340302,0.00807727,-24.51762,-11.73983,0.112062574
-1,0,0,-0.00075,26.88197899,0.008141862,-24.524971,-11.007567,0.107371444
-1,0,0,-0.0007,26.59736443,0.008267513,-24.532387,-10.275295,0.102738529
-1,0,0,-0.00065,26.33005524,0.008359794,-24.53983,-9.542984,0.098180418
-1,0,0,-0.0006,26.08058739,0.008437051,-24.547335,-8.810527,0.093719212
-1,0,0,-0.00055,25.84947968,0.008514931,-24.55485,-8.078051,0.089378819
-1,0,0,-0.0005,25.63723564,0.008594038,-24.562387,-7.3455377,0.085177495
-1,0,0,-0.00045,25.44433784,0.00865056,-24.569963,-6.612951,0.08112862
-1,0,0,-0.0004,25.27122116,0.008706145,-24.577547,-5.880362,0.077249416
-1,0,0,-0.00035,25.11828804,0.008755817,-24.58514,-5.1477365,0.073568156
-1,0,0,-0.0003,24.98591614,0.008803425,-24.59274,-4.415101,0.070123058
-1,0,0,-0.00025,24.87444305,0.008854992,-24.600348,-3.6824932,0.066947971
-1,0,0,-0.0002,24.78415871,0.008854779,-24.607979,-2.9498918,0.064076183
-1,0,0,-0.00015,24.7152977,0.008819574,-24.615631,-2.2173336,0.06169615
-1,0,0,-1.00E-04,24.6680603,0.008747091,-24.623343,-1.4846437,0.060128002
-1,0,0,-5.00E-05,24.6425705,0.008635913,-24.631096,-0.75189453,0.059162574
-1,0,0,3.12E-19,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,0,0,5.00E-05,24.65699196,0.008350934,-24.646667,0.7134608,0.059040872
-1,0,0,0.0001,24.69685173,0.008192009,-24.654474,1.4461261,0.059783628
-1,0,0,0.00015,24.75834656,0.008018401,-24.66229,2.178785,0.061200671
-1,0,0,0.0002,24.84132195,0.007830712,-24.670116,2.9114544,0.063516126
-1,0,0,0.00025,24.94556808,0.007655138,-24.677954,3.64416,0.066439925
-1,0,0,0.0003,25.07082176,0.007505812,-24.685802,4.37689,0.069738346
-1,0,0,0.00035,25.21676445,0.007356291,-24.693657,5.1096425,0.073318122
-1,0,0,0.0004,25.38306046,0.007192028,-24.70153,5.842441,0.077124769
-1,0,0,0.00045,25.56939507,0.006950944,-24.709497,6.575306,0.08112427
-1,0,0,0.0005,25.77526474,0.006701548,-24.717485,7.3082232,0.08529183
-1,0,0,0.00055,26.00018692,0.006430042,-24.725498,8.041107,0.089604646
-1,0,0,0.0006,26.24365997,0.006161036,-24.733517,8.773989,0.094041028
-1,0,0,0.00065,26.50517654,0.00589225,-24.741537,9.506873,0.098580934
-1,0,0,0.0007,26.78420258,0.005622875,-24.749561,10.239761,0.10320631
